nucleo,processo,vara,data,prioridades,dias
4ª CCJ,0001089-94.2006.8.17.0100,2ª Vara Cível da Comarca de Abreu e Lima,12/02/2025,Sem prioridade,33
5ª CC,0002696-97.2022.8.17.2100,2ª Vara Cível da Comarca de Abreu e Lima,17/03/2025,Sem prioridade,0
4ª CCJ,0003035-90.2021.8.17.2100,2ª Vara Cível da Comarca de Abreu e Lima,14/02/2025,Sem prioridade,31
5ª CC,0000110-60.1991.8.17.0100,3ª Vara Cível da Comarca de Abreu e Lima,17/03/2025,Sem prioridade,0
5ª CC,0000322-50.2018.8.17.2100,3ª Vara Cível da Comarca de Abreu e Lima,13/03/2025,Sem prioridade,4
4ª CCJ,0001300-86.2013.8.17.0100,3ª Vara Cível da Comarca de Abreu e Lima,16/03/2025,Sem prioridade,0
5ª CC,0003018-49.2024.8.17.2100,3ª Vara Cível da Comarca de Abreu e Lima,16/03/2025,Super prioridade,0
5ª CC,0003576-89.2022.8.17.2100,3ª Vara Cível da Comarca de Abreu e Lima,14/03/2025,Prioridade Legal,3
4ª CCJ,0004043-05.2021.8.17.2100,3ª Vara Cível da Comarca de Abreu e Lima,13/03/2025,Prioridade Legal,4
5ª CC,0004061-21.2024.8.17.2100,3ª Vara Cível da Comarca de Abreu e Lima,14/03/2025,Prioridade Legal,3
2ª CC,0000574-06.2024.8.17.4990,Vara Criminal da Comarca de Abreu e Lima,14/03/2025,Prioridade Legal,3
2ª CC,0000034-13.2023.8.17.4110,1ª Vara Criminal da Comarca de Afogados da Ingazeira,11/03/2025,Sem prioridade,6
2ª CC,0001181-94.2022.8.17.2110,1ª Vara Criminal da Comarca de Afogados da Ingazeira,14/03/2025,Sem prioridade,2
2ª CC,0003082-29.2024.8.17.2110,1ª Vara Criminal da Comarca de Afogados da Ingazeira,14/03/2025,Sem prioridade,2
7ª CC,0000010-68.2023.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,17/03/2025,Super prioridade,0
6ª CCJ,0000297-36.2020.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,06/02/2025,Sem prioridade,39
7ª CC,0000958-15.2020.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,13/03/2025,Sem prioridade,4
6ª CCJ,0001178-71.2024.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,20/02/2025,Prioridade Legal,25
6ª CCJ,0001200-32.2024.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,20/02/2025,Prioridade Legal,25
