Núcleo,Posição Geral,Posição Prioridade,Número do processo,Vara,Data Remessa Contadoria,Prioridade,Calculista,Data da atribuição,Cumprimento,Data da conclusão,Valor Total Devido - Custas,Observações,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1ª CC,,,0027574-39.2015.8.17.2001,Seção B da 18ª Vara Cível da Capital,12/12/2024,Prioridade Legal,Marcelle Ribera Menezes,07/01/2025,Devolvido: não há cálculos a serem realizados,07/01/2025,,,,,,,,
1ª CC,,,0075541-41.2019.8.17.2001,Seção B da 7ª Vara Cível da Capital,13/12/2024,Sem prioridade,Marcelle Ribera Menezes,07/01/2025,Cálculo realizado,07/01/2025,"R$ 1.416,46",,,,,,,
1ª CC,,,0024712-27.2017.8.17.2001,Seção B da 29ª Vara Cível da Capital,13/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Cálculo realizado,07/01/2025,,Processo voltou em 18/02 e as custas foram recalculadas,,,,,,
1ª CC,,,0006671-36.2022.8.17.2001,Seção A da 12ª Vara Cível da Capital,13/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Cálculo realizado,07/01/2025,"R$ 595,28",,,,,,,
1ª CC,,,0135708-53.2021.8.17.2001,Seção B da 11ª Vara Cível da Capital,13/12/2024,Sem prioridade,Joao Rafael Sabino Pereira,07/01/2025,Devolvido: não há cálculos a serem realizados,07/01/2025,,custas pagas,,,,,,
1ª CC,,,0014869-39.2008.8.17.0001,Seção B da 15ª Vara Cível da Capital,13/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: cumprimento de sentença,07/01/2025,,,,,,,,
1ª CC,,,0006115-64.2015.8.17.0001,Seção B da 4ª Vara Cível da Capital,13/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas pagas,,,,,,
1ª CC,,,0013651-09.2016.8.17.2001,Seção A da 34ª Vara Cível da Capital,13/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Cálculo realizado,07/01/2025,"R$ 312,95",,,,,,,
1ª CC,,,0051089-06.2015.8.17.2001,Seção A da 36ª Vara Cível da Capital,13/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas pagas,,,,,,
1ª CC,,,0066039-78.2019.8.17.2001,Seção B da 7ª Vara Cível da Capital,13/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Gratuidade,,,,,,
1ª CC,,,0001824-64.2017.8.17.2001,Seção B da 31ª Vara Cível da Capital,13/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas pagas,,,,,,
1ª CC,,,0044055-68.2012.8.17.0001,Seção B da 27ª Vara Cível da Capital,13/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: atualizar o valor da causa,07/01/2025,,,,,,,,
1ª CC,,,0048465-76.2018.8.17.2001,Seção B da 28ª Vara Cível da Capital,13/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Gratuidade,,,,,,
1ª CC,,,0014879-39.2015.8.17.0001,Seção B da 29ª Vara Cível da Capital,13/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas pagas,,,,,,
1ª CC,,,0062590-56.1986.8.17.0001,Seção A da 36ª Vara Cível da Capital,16/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas pagas,,,,,,
1ª CC,,,0061795-38.2021.8.17.2001,Seção A da 36ª Vara Cível da Capital,16/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas pagas,,,,,,
1ª CC,,,0057011-18.2021.8.17.2001,Seção A da 36ª Vara Cível da Capital,16/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: cumprimento de sentença,07/01/2025,,,,,,,,
1ª CC,,,0053427-79.2017.8.17.2001,Seção A da 36ª Vara Cível da Capital,16/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas pagas,,,,,,
1ª CC,,,0023348-49.2019.8.17.2001,Seção A da 36ª Vara Cível da Capital,16/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas pagas,,,,,,
1ª CC,,,0000342-81.2017.8.17.2001,Seção A da 36ª Vara Cível da Capital,16/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas pagas,,,,,,
1ª CC,,,0052611-87.2023.8.17.2001,Seção A da 30ª Vara Cível da Capital,16/12/2024,Sem prioridade,Joao Rafael Sabino Pereira,07/01/2025,Devolvido: solicitação de esclarecimentos ,07/01/2025,,,,,,,,
1ª CC,,,0162736-59.2022.8.17.2001,Seção A da 3ª Vara Cível da Capital,16/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas pagas,,,,,,
1ª CC,,,0020773-29.2023.8.17.2001,Seção A da 29ª Vara Cível da Capital,16/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Cálculo realizado,07/01/2025,"R$ 823,44",,,,,,,
1ª CC,,,0011071-64.2020.8.17.2001,Seção A da 29ª Vara Cível da Capital,16/12/2024,Sem prioridade,Marcelle Ribera Menezes,17/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas pagas,,,,,,
1ª CC,,,0064919-24.2024.8.17.2001,Seção A da 28ª Vara Cível da Capital,16/12/2024,Sem prioridade,Joao Rafael Sabino Pereira,07/01/2025,Cálculo realizado,07/01/2025,"R$ 3.108,38",,,,,,,
1ª CC,,,0003175-72.2017.8.17.2001,Seção A da 12ª Vara Cível da Capital,16/12/2024,Sem prioridade,Joao Rafael Sabino Pereira,07/01/2025,Cálculo realizado,07/01/2025,"R$ 1.733,65",,,,,,,
1ª CC,,,0026794-65.2016.8.17.2001,Seção A da 1ª Vara Cível da Capital,16/12/2024,Prioridade Legal,Joao Rafael Sabino Pereira,07/01/2025,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas pagas,,,,,,
1ª CC,,,0086768-52.2024.8.17.2001,Seção A da 21ª Vara Cível da Capital,16/12/2024,Sem prioridade,Joao Rafael Sabino Pereira,17/12/2024,Cálculo realizado,07/01/2025,"R$ 650,86",,,,,,,
1ª CC,,,0034317-21.2022.8.17.2001,Seção A da 12ª Vara Cível da Capital,16/12/2024,Prioridade Legal,Joao Rafael Sabino Pereira,17/12/2024,Cálculo realizado,07/01/2025,"R$ 185,26",,,,,,,
1ª CC,,,0046988-42.2023.8.17.2001,Seção A da 9ª Vara Cível da Capital,17/12/2024,Prioridade Legal,Joao Rafael Sabino Pereira,17/12/2024,Cálculo realizado,07/01/2025,"R$ 310,43",,,,,,,
1ª CC,,,0078510-87.2023.8.17.2001,Seção A da 9ª Vara Cível da Capital,17/12/2024,Prioridade Legal,Joao Rafael Sabino Pereira,18/12/2024,Cálculo realizado,07/01/2025,"R$ 682,48",,,,,,,
1ª CC,,,0029492-35.2013.8.17.0001,Seção B da 15ª Vara Cível da Capital,17/12/2024,Sem prioridade,Joao Rafael Sabino Pereira,09/01/2025,Cálculo realizado,09/01/2025,"R$ 5.109,12",,,,,,,
1ª CC,,,0064393-91.2023.8.17.2001,Seção B da 11ª Vara Cível da Capital,17/12/2024,Sem prioridade,Joao Rafael Sabino Pereira,09/01/2025,Cálculo realizado,09/01/2025,"R$ 13.422,54",,,,,,,
1ª CC,,,0098494-23.2024.8.17.2001,Seção B da 10ª Vara Cível da Capital,17/12/2024,Sem prioridade,Marcelle Ribera Menezes,18/12/2024,Devolvido: não há cálculos a serem realizados,08/01/2025,,Custas pagas,,,,,,
1ª CC,,,0055593-40.2024.8.17.2001,Seção B da 10ª Vara Cível da Capital,17/12/2024,Prioridade Legal,Joao Rafael Sabino Pereira,18/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas pagas,,,,,,
1ª CC,,,0058972-91.2021.8.17.2001,Seção A da 6ª Vara Cível da Capital,17/12/2024,Sem prioridade,Joao Rafael Sabino Pereira,09/01/2025,Cálculo realizado,09/01/2025,"R$ 247,56",,,,,,,
1ª CC,,,0124200-08.2024.8.17.2001,Seção B da 15ª Vara Cível da Capital,17/12/2024,Sem prioridade,Joao Rafael Sabino Pereira,10/01/2025,Devolvido: atualizar o valor da causa,10/01/2025,,,,,,,,
1ª CC,,,0040963-81.2021.8.17.2001,Seção A da 6ª Vara Cível da Capital,17/12/2024,Sem prioridade,Marcelle Ribera Menezes,18/12/2024,Devolvido: não há cálculos a serem realizados,08/01/2025,,Acordo,,,,,,
1ª CC,,,0110718-90.2024.8.17.2001,Seção A da 34ª Vara Cível da Capital,17/12/2024,Sem prioridade,Marcelle Ribera Menezes,18/12/2024,Devolvido: não há cálculos a serem realizados,08/01/2025,,Cancelamento de distribuição,,,,,,
1ª CC,,,0011492-30.2015.8.17.2001,Seção A da 31ª Vara Cível da Capital,17/12/2024,Sem prioridade,Marcelle Ribera Menezes,18/12/2024,Cálculo realizado,08/01/2025,"R$ 247,56",,,,,,,
1ª CC,,,0034000-33.2016.8.17.2001,Seção A da 6ª Vara Cível da Capital,17/12/2024,Sem prioridade,Marcelle Ribera Menezes,18/12/2024,Cálculo realizado,08/01/2025,"R$ 234,80",,,,,,,
1ª CC,,,0022403-86.2024.8.17.2001,Seção B da 17ª Vara Cível da Capital,17/12/2024,Sem prioridade,Marcelle Ribera Menezes,18/12/2024,Cálculo realizado,08/01/2025,"R$ 247,56",,,,,,,
1ª CC,,,0027069-04.2022.8.17.2001,Seção B da 18ª Vara Cível da Capital,17/12/2024,Sem prioridade,Marcelle Ribera Menezes,18/12/2024,Cálculo realizado,08/01/2025,"R$ 619,16",,,,,,,
1ª CC,,,0083244-81.2023.8.17.2001,Seção B da 19ª Vara Cível da Capital,17/12/2024,Sem prioridade,Marcelle Ribera Menezes,18/12/2024,Cálculo realizado,08/01/2025,"R$ 4.746,26",,,,,,,
1ª CC,,,0016627-23.2015.8.17.2001,Seção B da 7ª Vara Cível da Capital,17/12/2024,Super prioridade,Joao Rafael Sabino Pereira,18/12/2024,Devolvido: não há cálculos a serem realizados,07/01/2025,,Custas pagas,,,,,,
1ª CC,,,0046732-03.2014.8.17.0001,Seção B da 36ª Vara Cível da Capital,17/12/2024,Sem prioridade,Joao Rafael Sabino Pereira,10/01/2025,Cálculo realizado,10/01/2025,"R$ 12.539,60",,,,,,,
1ª CC,,,0133247-11.2021.8.17.2001,Seção B da 35ª Vara Cível da Capital,17/12/2024,Sem prioridade,Joao Rafael Sabino Pereira,10/01/2025,Cálculo realizado,10/01/2025,"R$ 631,72",,,,,,,
1ª CC,,,0075138-09.2018.8.17.2001,Seção B da 35ª Vara Cível da Capital,17/12/2024,Sem prioridade,Marcelle Ribera Menezes,18/12/2024,Cálculo realizado,08/01/2025,"R$ 244,60",,,,,,,
1ª CC,,,0070673-78.2023.8.17.2001,Seção B da 32ª Vara Cível da Capital,17/12/2024,Sem prioridade,Marcelle Ribera Menezes,18/12/2024,Cálculo realizado,08/01/2025,"R$ 4.227,14",,,,,,,
1ª CC,,,0045990-84.2017.8.17.2001,Seção B da 31ª Vara Cível da Capital,17/12/2024,Sem prioridade,Marcelle Ribera Menezes,18/12/2024,Devolvido: cumprimento de sentença,08/01/2025,,,,,,,,
1ª CC,,,0037333-17.2021.8.17.2001,Seção B da 31ª Vara Cível da Capital,17/12/2024,Sem prioridade,Marcelle Ribera Menezes,18/12/2024,Devolvido: erro de remessa,08/01/2025,,Já certificado,,,,,,
