nucleo,processo,vara,data,prioridades,dias
5ª CONTADORIA DE CUSTAS,0000057-48.2018.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,05/02/2025,Sem prioridade,0
4ª CONTADORIA DE CÁLCULOS JUDICIAIS,0000155-57.2023.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,29/01/2025,Prioridade Legal,7
4ª CONTADORIA DE CÁLCULOS JUDICIAIS,0000888-62.2019.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,29/01/2025,Sem prioridade,7
5ª CONTADORIA DE CUSTAS,0001920-73.2017.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,05/02/2025,Prioridade Legal,0
5ª CONTADORIA DE CUSTAS,0002121-94.2019.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,05/02/2025,Sem prioridade,0
5ª CONTADORIA DE CUSTAS,0002468-25.2022.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,05/02/2025,Sem prioridade,0
4ª CONTADORIA DE CÁLCULOS JUDICIAIS,0002637-76.2014.8.17.0100,1ª Vara Cível da Comarca de Abreu e Lima,16/12/2024,Sem prioridade,51
5ª CONTADORIA DE CUSTAS,0003126-49.2022.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,30/01/2025,Sem prioridade,6
4ª CONTADORIA DE CÁLCULOS JUDICIAIS,0002077-70.2022.8.17.2100,2ª Vara Cível da Comarca de Abreu e Lima,28/01/2025,Prioridade Legal,8
4ª CONTADORIA DE CÁLCULOS JUDICIAIS,0000318-71.2022.8.17.2100,3ª Vara Cível da Comarca de Abreu e Lima,04/02/2025,Prioridade Legal,1
4ª CONTADORIA DE CÁLCULOS JUDICIAIS,0000416-22.2023.8.17.2100,3ª Vara Cível da Comarca de Abreu e Lima,13/01/2025,Sem prioridade,23
5ª CONTADORIA DE CUSTAS,0001110-54.2024.8.17.2100,3ª Vara Cível da Comarca de Abreu e Lima,30/01/2025,Sem prioridade,6
4ª CONTADORIA DE CÁLCULOS JUDICIAIS,0001629-73.2017.8.17.2100,3ª Vara Cível da Comarca de Abreu e Lima,10/01/2025,Sem prioridade,26
4ª CONTADORIA DE CÁLCULOS JUDICIAIS,0002748-30.2021.8.17.2100,3ª Vara Cível da Comarca de Abreu e Lima,05/02/2025,Sem prioridade,0
4ª CONTADORIA DE CÁLCULOS JUDICIAIS,0004904-20.2023.8.17.2100,3ª Vara Cível da Comarca de Abreu e Lima,21/01/2025,Sem prioridade,15
2ª CONTADORIA DE CUSTAS,0000346-38.2024.8.17.5990,Vara Criminal da Comarca de Abreu e Lima,27/01/2025,Prioridade Legal,9
2ª CONTADORIA DE CUSTAS,0000574-05.2019.8.17.0100,Vara Criminal da Comarca de Abreu e Lima,04/02/2025,Sem prioridade,1
2ª CONTADORIA DE CUSTAS,0001194-52.2023.8.17.4990,Vara Criminal da Comarca de Abreu e Lima,04/02/2025,Prioridade Legal,1
2ª CONTADORIA DE CUSTAS,0000409-93.2017.8.17.0110,1ª Vara Criminal da Comarca de Afogados da Ingazeira,02/02/2025,Sem prioridade,2
2ª CONTADORIA DE CUSTAS,0001195-40.2017.8.17.0110,1ª Vara Criminal da Comarca de Afogados da Ingazeira,04/02/2025,Sem prioridade,1
6ª CONTADORIA DE CÁLCULOS JUDICIAIS,0000381-28.2017.8.17.0110,1ª Vara Cível da Comarca de Afogados da Ingazeira,04/02/2025,Sem prioridade,1
6ª CONTADORIA DE CÁLCULOS JUDICIAIS,0000426-70.2022.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,31/01/2025,Sem prioridade,5
6ª CONTADORIA DE CÁLCULOS JUDICIAIS,0001100-19.2020.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,30/01/2025,Sem prioridade,6
6ª CONTADORIA DE CÁLCULOS JUDICIAIS,0001220-62.2020.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,28/01/2025,Sem prioridade,8
6ª CONTADORIA DE CÁLCULOS JUDICIAIS,0001289-02.2017.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,04/02/2025,Sem prioridade,1
6ª CONTADORIA DE CÁLCULOS JUDICIAIS,0001851-64.2024.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,05/02/2025,Prioridade Legal,0
6ª CONTADORIA DE CÁLCULOS JUDICIAIS,0002403-34.2021.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,05/02/2025,Sem prioridade,0
6ª CONTADORIA DE CÁLCULOS JUDICIAIS,0000145-22.2019.8.17.2110,2ª Vara Cível e Regional da Infância e Juventude da Comarca de Afogados da Ingazeira,31/01/2025,Sem prioridade,5
6ª CONTADORIA DE CÁLCULOS JUDICIAIS,0000684-85.2019.8.17.2110,2ª Vara Cível e Regional da Infância e Juventude da Comarca de Afogados da Ingazeira,31/01/2025,Sem prioridade,5
6ª CONTADORIA DE CÁLCULOS JUDICIAIS,0001122-48.2018.8.17.2110,2ª Vara Cível e Regional da Infância e Juventude da Comarca de Afogados da Ingazeira,13/12/2024,Sem prioridade,54
6ª CONTADORIA DE CÁLCULOS JUDICIAIS,0001541-05.2017.8.17.2110,2ª Vara Cível e Regional da Infância e Juventude da Comarca de Afogados da Ingazeira,17/12/2024,Sem prioridade,50
7ª CONTADORIA DE CUSTAS,0001628-82.2022.8.17.2110,2ª Vara Cível e Regional da Infância e Juventude da Comarca de Afogados da Ingazeira,04/02/2025,Sem prioridade,1
6ª CONTADORIA DE CÁLCULOS JUDICIAIS,0001881-46.2017.8.17.2110,2ª Vara Cível e Regional da Infância e Juventude da Comarca de Afogados da Ingazeira,18/12/2024,Sem prioridade,49
7ª CONTADORIA DE CUSTAS,0002174-16.2017.8.17.2110,2ª Vara Cível e Regional da Infância e Juventude da Comarca de Afogados da Ingazeira,04/02/2025,Sem prioridade,1
7ª CONTADORIA DE CUSTAS,0002813-34.2017.8.17.2110,2ª Vara Cível e Regional da Infância e Juventude da Comarca de Afogados da Ingazeira,04/02/2025,Sem prioridade,1
6ª CONTADORIA DE CÁLCULOS JUDICIAIS,0003475-85.2023.8.17.2110,2ª Vara Cível e Regional da Infância e Juventude da Comarca de Afogados da Ingazeira,18/12/2024,Sem prioridade,49
6ª CONTADORIA DE CÁLCULOS JUDICIAIS,0003476-70.2023.8.17.2110,2ª Vara Cível e Regional da Infância e Juventude da Comarca de Afogados da Ingazeira,18/12/2024,Sem prioridade,49
6ª CONTADORIA DE CUSTAS,0000197-50.2022.8.17.2130,Vara Única da Comarca de Agrestina,03/02/2025,Prioridade Legal,2
5ª CONTADORIA DE CÁLCULOS JUDICIAIS,0000714-84.2024.8.17.2130,Vara Única da Comarca de Agrestina,05/02/2025,Sem prioridade,0
6ª CONTADORIA DE CUSTAS,0000198-08.2023.8.17.2160,Vara Única da Comarca de Alagoinha,03/02/2025,Sem prioridade,2
6ª CONTADORIA DE CUSTAS,0000494-98.2021.8.17.2160,Vara Única da Comarca de Alagoinha,04/02/2025,Sem prioridade,1
4ª CONTADORIA DE CÁLCULOS JUDICIAIS,0000008-46.1996.8.17.0170,Vara Única da Comarca de Aliança,31/01/2025,Prioridade Legal,5
4ª CONTADORIA DE CÁLCULOS JUDICIAIS,0000021-53.2019.8.17.2170,Vara Única da Comarca de Aliança,14/01/2025,Sem prioridade,22
5ª CONTADORIA DE CUSTAS,0000183-92.2020.8.17.0980,Vara Única da Comarca de Aliança,03/02/2025,Sem prioridade,2
4ª CONTADORIA DE CÁLCULOS JUDICIAIS,0000300-05.2020.8.17.2170,Vara Única da Comarca de Aliança,04/02/2025,Sem prioridade,1
4ª CONTADORIA DE CÁLCULOS JUDICIAIS,0000314-91.2017.8.17.2170,Vara Única da Comarca de Aliança,30/01/2025,Sem prioridade,6
